name,dataset,model,fitness,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),preprocess,inference,loss,postprocess,speed
202411241512_train_yolo11n-C3k2-WTConv_complete_epochs500,complete,val_best,0.7590655457619874,0.9861523827473143,0.73383367498584,0.9607585575773872,0.9907726178444698,0.08480457493858616,1.1800018540264048,0.0005255650429830065,0.4737237219102771,1.739055715918251
202411241512_train_yolo11n-C3k2-WTConv_complete_epochs500,complete,val_last,0.7417061611306608,0.9825476065276293,0.7149460005309975,0.9750217386997042,0.9633819374209075,0.08735328985246718,1.0858000484986317,0.0006142468928130584,0.5435553490390453,1.717322934282957
202412030553_train_yolo11s-C3k2-MutilScaleEdgeInformationSelect_sample_epochs500,sample,val_best,0.7051107708310318,0.9849675464320622,0.6740155735420283,0.979226328783528,0.9633323650064359,0.26061254389145794,10.839595514185289,0.0009200152228860295,0.7717441110049977,11.872872184304631
202412030553_train_yolo11s-C3k2-MutilScaleEdgeInformationSelect_sample_epochs500,sample,val_last,0.719605416385947,0.9798044444444441,0.6906944132683361,0.9645460857772103,0.9803240238211638,0.2595438676721909,10.47375763163847,0.0010841033037971048,0.8030526778277228,11.53743828044218
202412032128_train_yolo11m-ReCalibrationFPN-P2345_sample_epochs500,sample,val_best,0.7106141579308656,0.9806547397209471,0.6806096488430786,0.9612762187940167,0.9729555417746263,0.3673819934620577,11.598592645981732,0.0017222236184512869,1.2866847655352425,13.254381628597482
202412032128_train_yolo11m-ReCalibrationFPN-P2345_sample_epochs500,sample,val_last,0.7187559753194147,0.9854841841269838,0.6891195076741293,0.971627356098635,0.9622604279376837,0.3635252223295324,10.244427007787369,0.0014725853415096509,0.8758474798763499,11.485272295334761
202411282114_train_yolo11n-C3k2-EIEM_sample_epochs500,sample,val_best,0.6968772897521246,0.9875622857142854,0.6645789568674401,0.9647177492306774,0.9481450895617425,1.0780082029454847,6.636329258189482,0.0013253268073586857,7.458260480095359,15.173923268037685
202411282114_train_yolo11n-C3k2-EIEM_sample_epochs500,sample,val_last,0.717115866445225,0.978779054279054,0.6880421789081328,0.9493615167310506,0.9617868636080513,0.8516479940975413,4.68290553373449,0.0011387993307674631,4.88896790672751,10.42466023389031
202412150846_train_yolo11x-ASF-P2_sample_epochs500,sample,val_best,0.7233559462718253,0.9889707262780605,0.6938431929377991,0.9798075594872245,0.9611293894055051,0.06960981032427618,9.192622409147376,0.0008022083955652573,0.7923757328706629,10.055410160737882
202412150846_train_yolo11x-ASF-P2_sample_epochs500,sample,val_last,0.7252514889818575,0.9891112690327968,0.6959337356428642,0.9799179447557381,0.961478148465526,0.06853692671831915,8.76153917873607,0.019585385042078355,0.7813495748183306,9.631011065314798
202412170210_train_yolo11n-EIEStem_sample_epochs500,sample,val_best,0.6950600485622533,0.9722930259087298,0.6642563844126449,0.9469691722110893,0.9212921356019421,0.30374947716208067,1.5298969605389763,0.0006942188038545496,4.15055611554314,5.984896772048052
202412170210_train_yolo11n-EIEStem_sample_epochs500,sample,val_last,0.6898878469558577,0.9742542419833906,0.6582915808416873,0.939397845404653,0.9328854775259274,0.30052802141974955,1.3956729103537167,0.000776964075425092,4.726522109087775,6.423500004936667
202412121428_train_yolo11n-GlobalEdgeInformationTransfer3_sample_epochs500,sample,val_best,0.7210552773869283,0.9808432844583985,0.692189943267876,0.9691909192147453,0.9677239543486904,0.17511003157671762,1.806944959303912,0.000806415782255285,1.0293427635641659,3.012204170227051
202412121428_train_yolo11n-GlobalEdgeInformationTransfer3_sample_epochs500,sample,val_last,0.7164262175333431,0.9828086630369023,0.6868281680329476,0.9694232658656877,0.9686742481234547,0.1168208963730756,1.1848814347211052,0.000762939453125,0.8728434057796702,2.175308676326976
202412040119_train_yolo11s-C2BRA_sample_epochs500,sample,val_best,0.709336083902531,0.9832602065594765,0.6789000702739815,0.9757746182136028,0.9506786596033562,0.413816115435432,4.914240276112276,0.0016913694493910845,2.7804416768691116,8.110189437866211
202412040119_train_yolo11s-C2BRA_sample_epochs500,sample,val_last,0.7041365305350076,0.984549805097451,0.6729795000280694,0.9861542629331376,0.9672032856874339,0.27829619014964385,2.277113409603343,0.0017278334673713235,3.2495695001938762,5.806706933414235
202412102000_train_yolo11l-GlobalEdgeInformationTransfer2_sample_epochs500,sample,val_best,0.6915505828123991,0.9801828698103937,0.6594803287015107,0.9555969033221913,0.9690178448887105,0.34810515011058135,4.900166567634133,0.0007320852840647979,0.47607562121223,5.725079424241009
202412102000_train_yolo11l-GlobalEdgeInformationTransfer2_sample_epochs500,sample,val_last,0.6971132858896955,0.9839219864426758,0.6652456524949197,0.9806765608493895,0.9548458896775495,0.34776014440199904,4.700505032258875,0.0007573296042049632,0.47974446240593405,5.528766968671014
202412032152_train_yolo11n-C2BRA_sample_epochs500,sample,val_best,0.7035325860787381,0.9847896309739864,0.6722818033125993,0.9523918024033761,0.946781358542086,0.24480819702148438,4.829217405880199,0.001657710355870864,2.198066430933335,7.273749744190889
202412032152_train_yolo11n-C2BRA_sample_epochs500,sample,val_last,0.6970686693148956,0.9877702179691652,0.664768497242199,0.9666648766660245,0.964178120516859,0.38987328024471507,3.7375955020680145,0.0017194186939912684,2.8505774105296413,6.9797656115363615
202412110904_train_yolo11s-C3k2-CTA_sample_epochs500,sample,val_best,0.7110982286329602,0.9777345299145297,0.681471972935008,0.9694284164313769,0.9622747496645893,0.078887097975787,3.3137882457059975,0.0007012311150045957,0.5763474632711971,3.9697240380679863
202412110904_train_yolo11s-C3k2-CTA_sample_epochs500,sample,val_last,0.7075731617948295,0.9820233072374246,0.6770787011900968,0.9651864471321192,0.9514775660799237,0.07619296803193934,3.368258476257324,0.0006928163416245405,0.4551396650426528,3.900283925673541
202411142129_train_yolo11n_sample_epochs500,sample,val_best,0.7197438774456422,0.9791913234077748,0.6909163834498497,0.95381733434486,0.9556445196329644,0.3100395202636719,3.4247847164378444,0.0009803210987764245,0.8898146012250114,4.6256191590253035
202411142129_train_yolo11n_sample_epochs500,sample,val_last,0.7122951898513712,0.9870898245614033,0.6817624526613676,0.9866108448248782,0.9766275883529917,0.26386204887838927,2.728891372680664,0.0009943457210765166,0.6807733984554516,3.6745211657355816
202412131527_train_yolo11n-C3k2-MSBlock_sample_epochs500,sample,val_best,0.7068355685555907,0.9783277709008741,0.6766697682950036,0.964995495129756,0.9461987852332171,0.207823865553912,2.3496417438282684,0.0007222680484547335,5.674489806680118,8.232677684110753
202412131527_train_yolo11n-C3k2-MSBlock_sample_epochs500,sample,val_last,0.7012052611478818,0.9777567633431343,0.6704773164595205,0.958454040106283,0.9470026428803909,0.12099322150735295,1.796089901643641,0.000690011417164522,1.8565402311437271,3.774313365711886
202412062050_train_yolo11l-C2CGA_sample_epochs500,sample,val_best,0.7063954190720667,0.9828453846153844,0.6756787562339203,0.9619247231435071,0.9809212094567745,0.3734546549179975,5.376552132999196,0.0007208655862247243,1.8131031709558825,7.5638308244593
202412062050_train_yolo11l-C2CGA_sample_epochs500,sample,val_last,0.7061451777984398,0.9840760601237839,0.6752639686511793,0.9788655303575805,0.9676781866997793,0.26226183947394877,5.062972798066981,0.0007713542265050552,2.031529650968664,7.3575356427360985
202412092233_train_yolo11l-C3k2-EMSC_sample_epochs500,sample,val_best,0.693180429161971,0.9750146751179101,0.6618655129446444,0.9633718277031182,0.9555258265137575,0.14340877532958984,5.730519575231216,0.0017180162317612592,1.9118365119485294,7.787482878741097
202412092233_train_yolo11l-C3k2-EMSC_sample_epochs500,sample,val_last,0.70831070596592,0.9810151925326134,0.6780102074585096,0.9721840884181019,0.9466282663427266,0.26896981632008277,4.103426372303682,0.0015286838307100184,0.9176352444817039,5.291560116936179
202412192157_train_yolo11m-C3k2-DBB_sample_epochs500,sample,val_best,0.7035948529895597,0.9801925971771946,0.6728617703020447,0.9497910876765489,0.9659123693120425,0.20117619458366842,2.6954721002017754,0.0007517197552849265,0.5371935227338005,3.4345935372745293
202412192157_train_yolo11m-C3k2-DBB_sample_epochs500,sample,val_last,0.7093495994052206,0.9856872727272724,0.6786454134805481,0.9743520373993688,0.9707015087605524,0.07846495684455423,2.8632682912489944,0.0007713542265050552,0.5550356472239775,3.4975402495440306
202412150319_train_yolo11l-ASF-P2_sample_epochs500,sample,val_best,0.7014122171774556,0.9817951851851849,0.6702585540654857,0.961652408644638,0.9331208493234237,0.06908108206356273,5.214842628030216,0.01012717976289637,0.8394690120921415,6.133519901948818
202412150319_train_yolo11l-ASF-P2_sample_epochs500,sample,val_last,0.7067896069992766,0.9846432214496532,0.675916983171457,0.9702264474269773,0.9580626501228825,0.381925526787253,7.096085828893325,0.0008386724135454963,1.2515937580781826,8.730443786172305
202412210027_train_yolo11m_sample_epochs500,sample,val_best,0.71296893241769,0.9846537806637805,0.6827817270570132,0.9722863865563497,0.9463445784349447,0.23239079643698302,4.394829974454992,0.001583379857680377,6.647240414338953,11.276044565088608
