Uuid,Aid,Devid,Roomid,Date,Roomtype,Devtype,Initpower,Initusually,Initpeak,Initvalley,Inittip,Lastpower,Lastusually,Lastpeak,Lastvalley,Lasttip,Apportion,Price,Pricepeak,Pricevalley,Pricetip,Watermoney,Waterpower,Usually,Tip,Peak,Valley,Allpower,ApportionMoney,Allmoney,Status,Mark,Apportions,Ltime,Expand,Adduid,Lastuid,Addtime,Lasttime
66e711a323ca971e32d5bbad,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-16,1,64,3637.13,0,0,0,0,3645.51,0,0,0,0,0,1.3,0,0,0,2.0,1.5385,0,0,0,0,9.9185,0,14.8941,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.04, 'Money': 2, 'Power': 0}]",2024-09-16T23:45:18.519+08:00,,000000000000000000000000,000000000000000000000000,2024-09-16T00:56:03.975+08:00,2024-09-16T00:56:03.975+08:00
66e5bfa623ca9741a5d8da9b,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-15,1,64,3627.35,0,0,0,0,3637.13,0,0,0,0,0,1.3,0,0,0,3.0,2.3077,0,0,0,0,12.0877,0,18.714,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.06, 'Money': 3, 'Power': 0}]",2024-09-15T23:55:46.499+08:00,,000000000000000000000000,000000000000000000000000,2024-09-15T00:53:58.895+08:00,2024-09-15T00:53:58.895+08:00
66e4683c23ca9741a5c5e0a4,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-14,1,64,3617.17,0,0,0,0,3627.35,0,0,0,0,0,1.3,0,0,0,1.5,1.1538,0,0,0,0,11.3338,0,16.2339,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.03, 'Money': 1.5, 'Power': 0}]",2024-09-14T23:53:41.171+08:00,,000000000000000000000000,000000000000000000000000,2024-09-14T00:28:44.794+08:00,2024-09-14T00:28:44.794+08:00
66e3187723ca9741a5b8fbe7,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-13,1,64,3604.08,0,0,0,0,3617.17,0,0,0,0,0,1.3,0,0,0,10.0,7.6923,0,0,0,0,20.7823,0,37.017,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.2, 'Money': 10, 'Power': 0}]",2024-09-13T23:28:27.409+08:00,,000000000000000000000000,000000000000000000000000,2024-09-13T00:36:07.181+08:00,2024-09-13T00:36:07.181+08:00
66e1c9b523ca9741a5ac67fc,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-12,1,64,3594.69,0,0,0,0,3604.08,0,0,0,0,0,1.3,0,0,0,0.0,0.0,0,0,0,0,9.39,0,12.207,0,,[],2024-09-12T23:50:48.96+08:00,,000000000000000000000000,000000000000000000000000,2024-09-12T00:47:49.059+08:00,2024-09-12T00:47:49.059+08:00
66e0788723ca9741a59e860d,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-11,1,64,3585.14,0,0,0,0,3594.69,0,0,0,0,0,1.3,0,0,0,8.0,6.1538,0,0,0,0,15.7038,0,28.4149,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.16, 'Money': 8, 'Power': 0}]",2024-09-11T23:47:31.433+08:00,,000000000000000000000000,000000000000000000000000,2024-09-11T00:49:11.634+08:00,2024-09-11T00:49:11.634+08:00
66df235923ca9741a58cd104,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-10,1,64,3576.63,0,0,0,0,3585.14,0,0,0,0,0,1.3,0,0,0,5.5,4.2308,0,0,0,0,12.7408,0,22.063,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.11, 'Money': 5.5, 'Power': 0}]",2024-09-10T23:48:54.701+08:00,,000000000000000000000000,000000000000000000000000,2024-09-10T00:33:29.436+08:00,2024-09-10T00:33:29.436+08:00
66ddd4de23ca9741a580e1f8,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-09,1,64,3565.38,0,0,0,0,3576.63,0,0,0,0,0,1.3,0,0,0,4.0,3.0769,0,0,0,0,14.3269,0,22.625,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.08, 'Money': 4, 'Power': 0}]",2024-09-09T23:33:12.342+08:00,,000000000000000000000000,000000000000000000000000,2024-09-09T00:46:22.443+08:00,2024-09-09T00:46:22.443+08:00
66dc850e23ca9741a57405df,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-08,1,64,3554.6,0,0,0,0,3565.38,0,0,0,0,0,1.3,0,0,0,6.5,5.0,0,0,0,0,15.78,0,27.014,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.13, 'Money': 6.5, 'Power': 0}]",2024-09-08T23:46:05.528+08:00,,000000000000000000000000,000000000000000000000000,2024-09-08T00:53:34.972+08:00,2024-09-08T00:53:34.972+08:00
66db318a23ca974f8124e883,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-07,1,64,3543.94,0,0,0,0,3554.6,0,0,0,0,0,1.3,0,0,0,3.5,2.6923,0,0,0,0,13.3523,0,20.858,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.07, 'Money': 3.5, 'Power': 0}]",2024-09-07T23:53:17.813+08:00,,000000000000000000000000,000000000000000000000000,2024-09-07T00:44:58.77+08:00,2024-09-07T00:44:58.77+08:00
